title_no,title_image,title_option,title
1,,"[{'titleno': 'TI1', 'option': u'221221122', 'value': 'V1'}, {'titleno': 'TI1', 'option': u'22112122', 'value': 'V2'}, {'titleno': 'TI1', 'option': u'22112112', 'value': 'V3'}, {'titleno': 'TI1', 'option': u'112212211', 'value': 'V4'}, {'titleno': 'TI1', 'option': '212211212', 'value': 'V5'}]","1．五个答案中哪一个是最好的类比?
        工工人人人工人人工对于221112112；相当于工工人人工人人工对于"
2,,"[{'titleno': 'TI2', 'option': u'\u94dd', 'value': 'V1'}, {'titleno': 'TI2', 'option': u'\u9521', 'value': 'V2'}, {'titleno': 'TI2', 'option': u'\u94a2', 'value': 'V3'}, {'titleno': 'TI2', 'option': u'\u94c1', 'value': 'V4'}, {'titleno': 'TI2', 'option': u'\u94dc', 'value': 'V5'}]",2．找出与众不同的一个：
3,http://www.iqeq.com.cn/img/03.gif,"[{'titleno': 'TI3', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI3', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI3', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI3', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI3', 'option': 'E', 'value': 'V5'}]",3．五个答案中哪一个是最好的类比?
4,http://www.iqeq.com.cn/img/04.gif,"[{'titleno': 'TI4', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI4', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI4', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI4', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI4', 'option': 'E', 'value': 'V5'}]",4．找出与众不同的一个：
5,,"[{'titleno': 'TI5', 'option': u'15\u4eba', 'value': 'V1'}, {'titleno': 'TI5', 'option': u'25\u4eba', 'value': 'V2'}, {'titleno': 'TI5', 'option': u'29\u4eba', 'value': 'V3'}, {'titleno': 'TI5', 'option': u'30\u4eba', 'value': 'V4'}, {'titleno': 'TI5', 'option': u'31\u4eba', 'value': 'V5'}]",5．全班学生排成一行，从左数和从右数小明都是第15名，问全班共有学生多少人?
6,http://www.iqeq.com.cn/img/06.gif,"[{'titleno': 'TI6', 'option': 'A', 'value': 'V1'}, {'titleno': 'TI6', 'option': 'B', 'value': 'V2'}, {'titleno': 'TI6', 'option': 'C', 'value': 'V3'}, {'titleno': 'TI6', 'option': 'D', 'value': 'V4'}, {'titleno': 'TI6', 'option': 'E', 'value': 'V5'}, {'titleno': 'TI6', 'option': 'F', 'value': 'V6'}]","6．一个立方体的六面，分别写着A、 B、 C、 
      D、E、F六个字母，根据以下四张图，推测B的对面是什么字母"
7,,"[{'titleno': 'TI7', 'option': u'\u6b63\u786e', 'value': 'V1'}, {'titleno': 'TI7', 'option': u'\u660e\u786e', 'value': 'V2'}, {'titleno': 'TI7', 'option': u'\u4fe1\u5fc3', 'value': 'V3'}, {'titleno': 'TI7', 'option': u'\u80af\u5b9a', 'value': 'V4'}, {'titleno': 'TI7', 'option': u'\u771f\u5b9e', 'value': 'V5'}]",7．找出与“确信”意义相同或意义最相近的词：
8,,"[{'titleno': 'TI8', 'option': u'\u8098', 'value': 'V1'}, {'titleno': 'TI8', 'option': u'\u819d', 'value': 'V2'}, {'titleno': 'TI8', 'option': u'\u811a\u8dbe', 'value': 'V3'}, {'titleno': 'TI8', 'option': u'\u624b\u6307', 'value': 'V4'}, {'titleno': 'TI8', 'option': u'\u81c2', 'value': 'V5'}]","8．五个答案中哪一个是最好的类比？
       脚对于手相当于腿对于"
9,http://www.iqeq.com.cn/img/09.gif,"[{'titleno': 'TI9', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI9', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI9', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI9', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI9', 'option': 'E', 'value': 'V5'}]",9．五个答案中哪一个是最好的类比：
10,,"[{'titleno': 'TI10', 'option': u'\u5bf9\u7684', 'value': 'V1'}, {'titleno': 'TI10', 'option': u'\u9519\u7684', 'value': 'V2'}, {'titleno': 'TI10', 'option': u'\u65e2\u4e0d\u5bf9\u4e5f\u4e0d\u9519', 'value': 'V3'}]",10．如果所有的甲都是乙，没有一个乙是丙，那么，“一定没有一个丙是甲”。这句话是
11,,"[{'titleno': 'TI11', 'option': u'1', 'value': 'V1'}, {'titleno': 'TI11', 'option': u'3', 'value': 'V2'}, {'titleno': 'TI11', 'option': u'5', 'value': 'V3'}, {'titleno': 'TI11', 'option': u'7', 'value': 'V4'}, {'titleno': 'TI11', 'option': u'11', 'value': 'V5'}, {'titleno': 'TI11', 'option': u'13', 'value': 'V6'}, {'titleno': 'TI11', 'option': u'15', 'value': 'V7'}, {'titleno': 'TI11', 'option': '17', 'value': 'V8'}]",11．找出下列数字中特殊的一个：
12,http://www.iqeq.com.cn/img/12.gif,"[{'titleno': 'TI12', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI12', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI12', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI12', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI12', 'option': 'E', 'value': 'V5'}]",12．找出与众不同的一个：
13,,"[{'titleno': 'TI13', 'option': u'\u5c0f\u7ea2\u6bd4\u5c0f\u5f3a\u5927', 'value': 'V1'}, {'titleno': 'TI13', 'option': u'\u5c0f\u7ea2\u6bd4\u5c0f\u5f3a\u5c0f', 'value': 'V2'}, {'titleno': 'TI13', 'option': u'\u5c0f\u7ea2\u4e0e\u5c0f\u5f3a\u4e00\u6837\u5927', 'value': 'V3'}, {'titleno': 'TI13', 'option': u'\u65e0\u6cd5\u786e\u5b9a\u5c0f\u7ea2\u4e0e\u5c0f\u5f3a\u8c01\u5927', 'value': 'V4'}]",13．小明比小强大，小红比小明小。下列陈述中哪一句最正确?
14,http://www.iqeq.com.cn/img/14.gif,"[{'titleno': 'TI14', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI14', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI14', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI14', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI14', 'option': 'E', 'value': 'V5'}]",14．找出与众不同的一个：
15,,"[{'titleno': 'TI15', 'option': u'2368', 'value': 'V1'}, {'titleno': 'TI15', 'option': u'6283', 'value': 'V2'}, {'titleno': 'TI15', 'option': u'2683', 'value': 'V3'}, {'titleno': 'TI15', 'option': u'6328', 'value': 'V4'}, {'titleno': 'TI15', 'option': '3628', 'value': 'V5'}]","15．五个答案中哪一个是最好的类比?
         
        “预杉”对于“须杼”相当于8326对于"
16,,"[{'titleno': 'TI16', 'option': u'1\u5206\u7684', 'value': 'V1'}, {'titleno': 'TI16', 'option': u'2\u5206\u7684', 'value': 'V2'}, {'titleno': 'TI16', 'option': u'5\u5206\u7684', 'value': 'V3'}]",16．小明有12枚硬币，共3角6分钱。其中有5枚硬币是一样的，那么这五枚一定是：
17,,"[{'titleno': 'TI17', 'option': u'\u516c\u91cc', 'value': 'V1'}, {'titleno': 'TI17', 'option': u'\u82f1\u65f6', 'value': 'V2'}, {'titleno': 'TI17', 'option': u'\u4ea9', 'value': 'V3'}, {'titleno': 'TI17', 'option': u'\u4e08', 'value': 'V4'}, {'titleno': 'TI17', 'option': u'\u7c73', 'value': 'V5'}]",17．找出与众不同的一个
18,,"[{'titleno': 'TI18', 'option': u'\u79d8\u5bc6', 'value': 'V1'}, {'titleno': 'TI18', 'option': u'\u661f\u671f\u4e09', 'value': 'V2'}, {'titleno': 'TI18', 'option': u'\u8fdb\u653b', 'value': 'V3'}, {'titleno': 'TI18', 'option': u'\u6267\u884c', 'value': 'V4'}, {'titleno': 'TI18', 'option': u'\u8ba1\u5212', 'value': 'V5'}]",18．经过破译敌人密码，已经知道了“香蕉苹果大鸭梨”的意思是“星期三秘密进攻”，“苹果甘蔗水蜜桃”的意思是“执行秘密计划”，“广柑香蕉西红柿”的意思是“星期三的胜利属于我们”，那么，“大鸭梨”的意思是：
19,,"[{'titleno': 'TI19', 'option': u'\u58eb\u6c14', 'value': 'V1'}, {'titleno': 'TI19', 'option': u'\u5b89\u5168', 'value': 'V2'}, {'titleno': 'TI19', 'option': u'\u602f\u61e6', 'value': 'V3'}, {'titleno': 'TI19', 'option': u'\u6124\u6012', 'value': 'V4'}, {'titleno': 'TI19', 'option': u'\u6050\u6016', 'value': 'V5'}]","19．五个答案中哪个是最好的类比?
         爱对于恨相当于英勇对于"
20,,"[{'titleno': 'TI20', 'option': u'25%', 'value': 'V1'}, {'titleno': 'TI20', 'option': u'50%', 'value': 'V2'}, {'titleno': 'TI20', 'option': u'75%', 'value': 'V3'}, {'titleno': 'TI20', 'option': u'100%', 'value': 'V4'}, {'titleno': 'TI20', 'option': '200%', 'value': 'V5'}]",20．一本书的价格降低了50％。现在，如果按原价出售，提高了百分之几?
21,http://www.iqeq.com.cn/img/21.gif,"[{'titleno': 'TI21', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI21', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI21', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI21', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI21', 'option': 'E', 'value': 'V5'}]",21．五个答案中哪一个是最好的类比?
22,,"[{'titleno': 'TI22', 'option': u'\u5357\u74dc', 'value': 'V1'}, {'titleno': 'TI22', 'option': u'\u8461\u8404', 'value': 'V2'}, {'titleno': 'TI22', 'option': u'\u9ec4\u74dc', 'value': 'V3'}, {'titleno': 'TI22', 'option': u'\u7389\u7c73', 'value': 'V4'}, {'titleno': 'TI22', 'option': u'\u8c4c\u8c46', 'value': 'V5'}]",22．找出与众不同的一个：
23,,"[{'titleno': 'TI23', 'option': u'\u5149\u7ebf', 'value': 'V1'}, {'titleno': 'TI23', 'option': u'\u5f00\u5173', 'value': 'V2'}, {'titleno': 'TI23', 'option': u'\u7535\u8bdd', 'value': 'V3'}, {'titleno': 'TI23', 'option': u'\u5371\u9669', 'value': 'V4'}, {'titleno': 'TI23', 'option': u'\u7535\u7ebf', 'value': 'V5'}]","23．从五个答案中找出最好的类比：
         水对于龙头相当于电对于"
24,,"[{'titleno': 'TI24', 'option': u'5', 'value': 'V1'}, {'titleno': 'TI24', 'option': u'5.5', 'value': 'V2'}, {'titleno': 'TI24', 'option': u'6', 'value': 'V3'}, {'titleno': 'TI24', 'option': u'6.5', 'value': 'V4'}, {'titleno': 'TI24', 'option': '7', 'value': 'V5'}]",24．打满水缸要11桶水。王林每次只能提两桶水，要打满水缸他需要走几趟?
25,http://www.iqeq.com.cn/img/25.gif,"[{'titleno': 'TI25', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI25', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI25', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI25', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI25', 'option': 'E', 'value': 'V5'}]",25．五个答案中哪个是最好的类比?
26,,"[{'titleno': 'TI26', 'option': u'\u5bf9\u7684', 'value': 'V1'}, {'titleno': 'TI26', 'option': u'\u9519\u7684', 'value': 'V2'}, {'titleno': 'TI26', 'option': u'\u65e2\u4e0d\u5bf9\u4e5f\u4e0d\u9519', 'value': 'V3'}]",26．如果所有的甲都是乙，所有的乙都是丙，那么，一定所有的甲都是丙。这句话是
27,http://www.iqeq.com.cn/img/27.gif,"[{'titleno': 'TI27', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI27', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI27', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI27', 'option': 'D', 'value': 'V4'}]",27．下边哪一个盒子是用左边这张硬纸折成的?
28,,"[{'titleno': 'TI28', 'option': u'73', 'value': 'V1'}, {'titleno': 'TI28', 'option': u'63', 'value': 'V2'}, {'titleno': 'TI28', 'option': u'53', 'value': 'V3'}, {'titleno': 'TI28', 'option': u'43', 'value': 'V4'}, {'titleno': 'TI28', 'option': '27', 'value': 'V5'}]",28．小张、小李、小王、小刘共买苹果144个。小张买的苹果比小李多10个，比小王多26个，比小刘多32个。小张买了多少个苹果?
29,,"[{'titleno': 'TI29', 'option': u'\u89e6', 'value': 'V1'}, {'titleno': 'TI29', 'option': u'\u89c6', 'value': 'V2'}, {'titleno': 'TI29', 'option': u'\u542c', 'value': 'V3'}, {'titleno': 'TI29', 'option': u'\u5403', 'value': 'V4'}, {'titleno': 'TI29', 'option': u'\u55c5', 'value': 'V5'}]",29．找出与众不同的一个：
30,,"[{'titleno': 'TI30', 'option': u'\u4f84\u5b50', 'value': 'V1'}, {'titleno': 'TI30', 'option': u'\u8868\u5144', 'value': 'V2'}, {'titleno': 'TI30', 'option': u'\u53d4\u53d4', 'value': 'V3'}, {'titleno': 'TI30', 'option': u'\u6bcd\u4eb2', 'value': 'V4'}, {'titleno': 'TI30', 'option': u'\u54e5\u54e5', 'value': 'V5'}]","30．五个答案中哪个是最好的类比？
         
        女儿对于父亲相当于侄女对于"
31,http://www.iqeq.com.cn/img/31.gif,"[{'titleno': 'TI31', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI31', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI31', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI31', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI31', 'option': 'E', 'value': 'V5'}]",31．找出与众不同的一个：
32,,"[{'titleno': 'TI32', 'option': u'4', 'value': 'V1'}, {'titleno': 'TI32', 'option': u'5', 'value': 'V2'}, {'titleno': 'TI32', 'option': u'8', 'value': 'V3'}, {'titleno': 'TI32', 'option': u'10', 'value': 'V4'}, {'titleno': 'TI32', 'option': u'11', 'value': 'V5'}, {'titleno': 'TI32', 'option': u'16', 'value': 'V6'}, {'titleno': 'TI32', 'option': u'19', 'value': 'V7'}, {'titleno': 'TI32', 'option': u'32', 'value': 'V8'}, {'titleno': 'TI32', 'option': '36', 'value': 'V9'}]",32．找出下列数字中多余的一个：
33,,"[{'titleno': 'TI33', 'option': u'\u9cc3', 'value': 'V1'}, {'titleno': 'TI33', 'option': u'\u5927\u6d77', 'value': 'V2'}, {'titleno': 'TI33', 'option': u'\u6e14\u592b', 'value': 'V3'}, {'titleno': 'TI33', 'option': u'\u9c7c', 'value': 'V4'}, {'titleno': 'TI33', 'option': u'\u9ccd', 'value': 'V5'}]","33．五个答案中哪个是最好的类比?
         皮对于树相当于鳞对于"
34,,"[{'titleno': 'TI34', 'option': u'\u9e21', 'value': 'V1'}, {'titleno': 'TI34', 'option': u'\u9e3d', 'value': 'V2'}, {'titleno': 'TI34', 'option': u'\u9e2d', 'value': 'V3'}, {'titleno': 'TI34', 'option': u'\u9e64', 'value': 'V4'}, {'titleno': 'TI34', 'option': u'\u9e45', 'value': 'V5'}]",34．找出与众不同的一个：
35,,"[{'titleno': 'TI35', 'option': u'\u6e7f', 'value': 'V1'}, {'titleno': 'TI35', 'option': u'\u51b7', 'value': 'V2'}, {'titleno': 'TI35', 'option': u'\u767d', 'value': 'V3'}, {'titleno': 'TI35', 'option': u'\u751c', 'value': 'V4'}, {'titleno': 'TI35', 'option': u'\u719f', 'value': 'V5'}]",35．樱桃对于红相当于牛奶对于
36,,"[{'titleno': 'TI36', 'option': u'25\uff0e6\u7c73', 'value': 'V1'}, {'titleno': 'TI36', 'option': u'36\u7c73', 'value': 'V2'}, {'titleno': 'TI36', 'option': u'51\uff0e2\u7c73', 'value': 'V3'}, {'titleno': 'TI36', 'option': u'64\uff0e4\u7c73', 'value': 'V4'}, {'titleno': 'TI36', 'option': u'76\uff0e2\u7c73', 'value': 'V5'}]",36．火车守车(车尾)长6．4米；机车的长度等于守车的长加上半节车厢的长。车厢长度等于守车长加上机车长。火车的机车、车厢、守车共长多少米？
37,http://www.iqeq.com.cn/img/37.gif,"[{'titleno': 'TI37', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI37', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI37', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI37', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI37', 'option': 'E', 'value': 'V5'}]",37．找出与众不同的一个：
38,,[],38．在括号中填一字，使这字与括号外面的字分别组成两个字：古( )巴
39,,"[{'titleno': 'TI39', 'option': u'18', 'value': 'V1'}, {'titleno': 'TI39', 'option': u'20', 'value': 'V2'}, {'titleno': 'TI39', 'option': u'24', 'value': 'V3'}, {'titleno': 'TI39', 'option': u'26', 'value': 'V4'}, {'titleno': 'TI39', 'option': '30', 'value': 'V5'}]",39．哥哥今年15岁，他的年龄是妹妹年龄的3倍。当哥哥的年龄是妹妹年龄2倍时，哥哥几岁?
40,http://www.iqeq.com.cn/img/40.gif,"[{'titleno': 'TI40', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI40', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI40', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI40', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI40', 'option': 'E', 'value': 'V5'}]",40．五个答案中哪个是最好的类比?
41,,"[{'titleno': 'TI41', 'option': u'\u5206', 'value': 'V1'}, {'titleno': 'TI41', 'option': u'\u79d2', 'value': 'V2'}, {'titleno': 'TI41', 'option': u'\u6708', 'value': 'V3'}, {'titleno': 'TI41', 'option': u'\u65e5', 'value': 'V4'}, {'titleno': 'TI41', 'option': u'\u949f', 'value': 'V5'}]",41．角对于元相当于小时对于
42,http://www.iqeq.com.cn/img/42.gif,"[{'titleno': 'TI42', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI42', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI42', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI42', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI42', 'option': 'E', 'value': 'V5'}]",42．五个答案中哪一个是最好的类比？
43,http://www.iqeq.com.cn/img/43.gif,"[{'titleno': 'TI43', 'option': u'8', 'value': 'V1'}, {'titleno': 'TI43', 'option': u'10', 'value': 'V2'}, {'titleno': 'TI43', 'option': u'12', 'value': 'V3'}, {'titleno': 'TI43', 'option': u'16', 'value': 'V4'}, {'titleno': 'TI43', 'option': '20', 'value': 'V5'}]",43．如果把这个大立方体的六个面全部涂上黑色，然后按图中虚线把它切成36个小方块，两面有黑色的小方块有多少个？
44,http://www.iqeq.com.cn/img/44.gif,"[{'titleno': 'TI44', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI44', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI44', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI44', 'option': u'D', 'value': 'V4'}]",44．从(a)(b)(c)(d)中选出一个合适的图案填在下边的问号处。
45,,"[{'titleno': 'TI45', 'option': u'\u5634', 'value': 'V1'}, {'titleno': 'TI45', 'option': u'\u80c3', 'value': 'V2'}, {'titleno': 'TI45', 'option': u'\u5403', 'value': 'V3'}, {'titleno': 'TI45', 'option': u'\u4eba', 'value': 'V4'}, {'titleno': 'TI45', 'option': u'\u7259', 'value': 'V5'}]",45．汽油对于汽车相当于食物对于
46,http://www.iqeq.com.cn/img/46.gif,"[{'titleno': 'TI46', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI46', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI46', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI46', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI46', 'option': 'E', 'value': 'V5'}]",46．找出与众不同的一个：
47,,"[{'titleno': 'TI47', 'option': u'\u5357\u660c', 'value': 'V1'}, {'titleno': 'TI47', 'option': u'\u897f\u5b89', 'value': 'V2'}, {'titleno': 'TI47', 'option': u'\u90d1\u5dde', 'value': 'V3'}, {'titleno': 'TI47', 'option': u'\u54c8\u5c14\u6ee8', 'value': 'V4'}, {'titleno': 'TI47', 'option': u'\u6606\u660e', 'value': 'V5'}]",47．找出与众不同的一个：
48,,"[{'titleno': 'TI48', 'option': u'\u5bf9\u7684', 'value': 'V1'}, {'titleno': 'TI48', 'option': u'\u9519\u7684', 'value': 'V2'}, {'titleno': 'TI48', 'option': u'\u65e2\u4e0d\u5bf9\u4e5f\u4e0d\u9519', 'value': 'V3'}]",48．如果有些甲是乙，所有的丙都是乙，那么，一定有些甲是丙。这句话是
49,http://www.iqeq.com.cn/img/49.gif,"[{'titleno': 'TI49', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI49', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI49', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI49', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI49', 'option': 'E', 'value': 'V5'}]",49．五个答案中哪一个是最好的类比？
50,http://www.iqeq.com.cn/img/50.gif,"[{'titleno': 'TI50', 'option': u'20\uff05', 'value': 'V1'}, {'titleno': 'TI50', 'option': u'25\uff05', 'value': 'V2'}, {'titleno': 'TI50', 'option': u'30\uff05', 'value': 'V3'}, {'titleno': 'TI50', 'option': u'35\uff05', 'value': 'V4'}, {'titleno': 'TI50', 'option': u'40\uff05', 'value': 'V5'}]",50．图中阴影部分占总面积百分之几?
51,http://www.iqeq.com.cn/img/51.gif,"[{'titleno': 'TI51', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI51', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI51', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI51', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI51', 'option': 'E', 'value': 'V5'}]",51．找出与众不同的一个:
52,http://www.iqeq.com.cn/img/52.gif,"[{'titleno': 'TI52', 'option': u'5', 'value': 'V1'}, {'titleno': 'TI52', 'option': u'7', 'value': 'V2'}, {'titleno': 'TI52', 'option': u'9', 'value': 'V3'}, {'titleno': 'TI52', 'option': u'11', 'value': 'V4'}, {'titleno': 'TI52', 'option': '13', 'value': 'V5'}]",52．数数有多少个三角形
53,,"[{'titleno': 'TI53', 'option': u'\u8d77\u91cd\u673a', 'value': 'V1'}, {'titleno': 'TI53', 'option': u'\u8239\u575e', 'value': 'V2'}, {'titleno': 'TI53', 'option': u'\u9886\u822a\u5458', 'value': 'V3'}, {'titleno': 'TI53', 'option': u'\u8f6e\u8239', 'value': 'V4'}, {'titleno': 'TI53', 'option': u'\u65c5\u884c', 'value': 'V5'}]",53．车站对于火车相当于港口对于
54,http://www.iqeq.com.cn/img/54.gif,"[{'titleno': 'TI54', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI54', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI54', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI54', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI54', 'option': 'E', 'value': 'V5'}]",54．找出与众不同的一个：
55,http://www.iqeq.com.cn/img/55.gif,"[{'titleno': 'TI55', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI55', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI55', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI55', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI55', 'option': 'E', 'value': 'V5'}]",55．找出与众不同的一个：
56,,"[{'titleno': 'TI56', 'option': u'\u5bf9\u7684', 'value': 'V1'}, {'titleno': 'TI56', 'option': u'\u9519\u7684', 'value': 'V2'}, {'titleno': 'TI56', 'option': u'\u65e2\u4e0d\u5bf9\u4e5f\u4e0d\u9519', 'value': 'V3'}]",56．如果所有的甲都是乙，有些乙是丙，那么，一定有些甲是丙。这一陈述是
57,,"[{'titleno': 'TI57', 'option': u'\u753b\u5bb6', 'value': 'V1'}, {'titleno': 'TI57', 'option': u'\u6392\u7403\u8fd0\u52a8\u5458', 'value': 'V2'}, {'titleno': 'TI57', 'option': u'\u64ad\u97f3\u5458', 'value': 'V3'}, {'titleno': 'TI57', 'option': u'\u821e\u8e48\u6f14\u5458', 'value': 'V4'}, {'titleno': 'TI57', 'option': u'\u5316\u5986\u5e08', 'value': 'V5'}]",57．找出与众不同的一个：
58,http://www.iqeq.com.cn/img/58.gif,"[{'titleno': 'TI58', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI58', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI58', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI58', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI58', 'option': 'E', 'value': 'V5'}]",58．哪个图形与众不同？
59,,"[{'titleno': 'TI59', 'option': u'\u6c34', 'value': 'V1'}, {'titleno': 'TI59', 'option': u'\u592a\u9633', 'value': 'V2'}, {'titleno': 'TI59', 'option': u'\u6c7d\u6cb9', 'value': 'V3'}, {'titleno': 'TI59', 'option': u'\u98ce', 'value': 'V4'}, {'titleno': 'TI59', 'option': u'\u6c34\u6ce5', 'value': 'V5'}]",59．找出与众不同的一个：
60,http://www.iqeq.com.cn/img/60.gif,"[{'titleno': 'TI60', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI60', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI60', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI60', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI60', 'option': u'E', 'value': 'V5'}, {'titleno': 'TI60', 'option': 'F', 'value': 'V6'}]",60．(a)(b)(c)(d)(e)(f)哪个放在下面的问号处最合适?
